Rank,Name,State,Type,Admit,Grad4,Cost,NeedAid,NonNeedAid,NNApercent,GradDebt,Salary,Year
1,"Washington and Lee University, Lexington",VA,Liberal Arts,20,85,59202,41472,36293,14,23224,77600,2019
2,"Princeton University, Princeton",NJ,Private,7,90,58660,42097,0,0,6600,75100,2019
3,"Harvard University, Cambridge",MA,Private,6,86,61659,44430,20827,0,15117,87200,2019
4,"Davidson College, Davidson",NC,Liberal Arts,22,90,61119,37170,23834,15,22000,58500,2019
5,"Swarthmore College, Swarthmore",PA,Liberal Arts,17,89,62690,40314,37474,2,21866,49400,2019
6,"Vanderbilt University, Nashville",TN,Private,13,88,61470,39953,22372,20,20790,60900,2019
7,"Rice University, Houston",TX,Private,15,82,56703,34954,13730,21,22241,59900,2019
8,"Pomona College, Claremont",CA,Liberal Arts,12,90,63670,41443,0,0,16273,52600,2019
9,"Yale University, New Haven",CT,Private,6,87,63250,45710,0,0,14853,66000,2019
10,"University of North Carolina at Chapel Hill, Chapel Hill",NC,Public,28,81,46017,14791,6784,8,18945,50400,2019
11,"Duke University, Durham",NC,Private,11,87,64593,41910,20714,21,20556,76700,2019
12,"Kenyon College, Gambier",OH,Liberal Arts,25,89,62930,38039,13311,22,20323,43700,2019
13,"Williams College, Williamstown",MA,Liberal Arts,19,89,64090,43689,0,0,14170,58100,2019
14,"Wesleyan University, Middletown",CT,Liberal Arts,24,87,64078,41532,48032,1,22959,50900,2019
15,"California Institute of Technology, Pasadena",CA,Private,9,85,60084,37557,0,0,12104,74000,2019
16,"Middlebury College, Middlebury",VT,Liberal Arts,17,89,62456,39238,0,0,17975,53400,2019
17,"Massachusetts Institute of Technology, Cambridge",MA,Private,8,81,61434,37090,0,0,19064,91600,2019
18,"Grinnell College, Grinnell",IA,Liberal Arts,28,85,59298,37153,16968,45,16315,45600,2019
19,"Colgate University, Hamilton",NY,Liberal Arts,26,90,63580,41428,0,0,21405,61500,2019
20,"Amherst College, Amherst",MA,Liberal Arts,14,87,64772,47243,0,0,14490,56800,2019
21,"Stanford University, Stanford",CA,Private,5,76,61852,41620,8980,0,19230,80900,2019
22,"Thomas Aquinas College, Santa Paula",CA,Liberal Arts,83,63,32500,15755,0,0,16263,0,2019
23,"Emory University, Atlanta",GA,Private,27,84,60668,37657,22538,5,24741,59000,2019
24,"University of Richmond, Richmond",VA,Liberal Arts,32,80,60310,37199,23692,28,22550,60800,2019
25,"Vassar College, Poughkeepsie",NY,Liberal Arts,24,88,64230,43094,0,0,17476,47100,2019
26,"Haverford College, Haverford",PA,Liberal Arts,25,88,65410,42621,0,0,15540,55600,2019
27,"Dartmouth College, Hanover",NH,Private,12,88,65094,42263,0,0,21533,67100,2019
28,"Bowdoin College, Brunswick",ME,Liberal Arts,15,86,62190,38978,1000,5,25503,54800,2019
29,"Wellesley College, Wellesley",MA,Liberal Arts,30,82,62140,39988,0,0,12956,56700,2019
30,"Carleton College, Northfield",MN,Liberal Arts,23,91,62846,34050,3095,15,18302,46100,2019
31,"Brown University, Providence",RI,Private,9,85,63496,40917,9452,0,24300,59700,2019
32,"Hamilton College, Clinton",NY,Liberal Arts,26,86,63370,38762,0,0,18941,57300,2019
33,"University of Pennsylvania, Philadelphia",PA,Private,10,87,64776,40044,0,0,19442,78200,2019
34,"Bates College, Lewiston",ME,Liberal Arts,25,84,63340,38921,0,0,18929,53500,2019
35,"Cornell University, Ithaca",NY,Private,14,87,63684,37559,0,0,21411,70900,2019
36,"Hillsdale College, Hillsdale",MI,Liberal Arts,53,70,35552,7905,5531,83,25502,0,2019
37,"Colorado College, Colorado Springs",CO,Liberal Arts,18,82,61459,38469,11554,11,19756,41100,2019
38,"Colby College, Waterville",ME,Liberal Arts,28,85,62462,41033,500,0,21958,53000,2019
39,"Wheaton College, Wheaton",IL,Liberal Arts,69,80,43270,20255,6428,37,25939,42600,2019
40,"Barnard College, New York",NY,Liberal Arts,24,82,63891,38842,0,0,17660,57400,2019
41,"Macalester College, St. Paul",MN,Liberal Arts,36,85,60879,34527,11856,26,24156,45700,2019
42,"University of Virginia, Charlottesville",VA,Public,29,87,55644,19406,7277,4,22933,58600,2019
43,"Smith College, Northampton",MA,Liberal Arts,42,82,62558,38417,15982,12,24758,42700,2019
44,"Whitman College, Walla Walla",WA,Liberal Arts,41,82,59102,28484,9104,55,19147,43000,2019
45,"Northwestern University, Evanston",IL,Private,13,85,65603,37674,2480,8,19864,64100,2019
46,"University of Notre Dame, Notre Dame",IN,Private,21,90,62825,33025,15804,12,26674,69400,2019
47,"Georgetown University, Washington",DC,Private,17,91,64385,36878,0,0,22464,83300,2019
48,"College of the Holy Cross, Worcester",MA,Liberal Arts,43,90,60624,32207,33808,4,28354,63700,2019
49,"Claremont McKenna College, Claremont",CA,Liberal Arts,11,80,65225,40438,15732,10,23232,63600,2019
50,"Harvey Mudd College, Claremont",CA,Liberal Arts,14,90,68055,35637,10546,46,24503,78600,2019
51,"Pitzer College, Claremont",CA,Liberal Arts,13,80,64880,35293,4687,1,19422,45300,2019
52,"University of Florida, Gainesville",FL,Public,47,67,39609,6778,2437,11,20642,51300,2019
53,"Johns Hopkins University, Baltimore",MD,Private,15,88,64960,34462,30165,3,23627,69200,2019
54,"Boston College, Chestnut Hill",MA,Private,34,88,63930,34729,19189,3,21099,67000,2019
55,"Centre College, Danville",KY,Liberal Arts,72,80,49320,25491,18766,89,25994,45000,2019
56,"Scripps College, Claremont",CA,Liberal Arts,27,80,65060,34792,19712,23,20060,47200,2019
57,"Washington University in St. Louis, St. Louis",MO,Private,17,90,64350,35555,8665,18,23858,62300,2019
58,"Principia College, Elsah",IL,Liberal Arts,79,76,39250,24591,22664,91,23732,0,2019
59,"Lafayette College, Easton",PA,Liberal Arts,30,88,62680,35412,23469,13,27497,69800,2019
60,"Sewanee: The University of the South, Sewanee",TN,Liberal Arts,65,76,50650,26247,10883,48,21277,38200,2019
61,"University of Minnesota, Twin Cities Campus, Minneapolis",MN,Public,45,59,32524,9388,4992,10,26796,47800,2019
62,"Brigham Young University, Provo",UT,Private,47,30,18622,4897,3944,37,14021,57400,2019
63,"St. Olaf College, Northfield",MN,Liberal Arts,51,86,53730,28644,13290,63,28396,44800,2019
64,"Tufts University, Medford",MA,Private,17,88,65308,37147,500,3,26616,67800,2019
65,"Truman State University, Kirksville",MO,Public,74,57,23475,6794,5322,60,23585,42700,2019
66,"Mount Holyoke College, South Hadley",MA,Liberal Arts,55,76,57696,30707,16888,41,23914,44100,2019
67,"Bucknell University, Lewisburg",PA,Liberal Arts,31,85,63268,24000,13808,15,22500,68800,2019
68,"Oberlin College, Oberlin",OH,Liberal Arts,33,76,64646,32317,13167,67,25018,38400,2019
69,"University of California, Berkeley, Berkeley",CA,Public,16,72,54801,22135,5925,4,17584,62700,2019
70,"Lehigh University, Bethlehem",PA,Private,34,76,59510,32995,12424,9,31877,76800,2019
71,"College of William and Mary, Williamsburg",VA,Public,33,83,53350,13914,6673,7,25733,56400,2019
72,"Skidmore College, Saratoga Springs",NY,Liberal Arts,37,85,63492,38400,12000,1,22887,43100,2019
73,"Denison University, Granville",OH,Liberal Arts,51,79,59510,34254,18537,92,27773,48600,2019
74,"University of Wisconsin — Madison, Madison",WI,Public,50,56,39669,9890,3876,9,26579,51000,2019
75,"North Carolina State University, Raleigh",NC,Public,51,44,36319,10015,6531,6,20482,47500,2019
76,"University of California, Los Angeles, Los Angeles",CA,Public,19,73,53974,18806,4539,6,20759,59200,2019
77,"University of Maryland, College Park, College Park",MD,Public,48,67,43246,8656,6657,19,25131,59100,2019
78,"Kalamazoo College, Kalamazoo",MI,Liberal Arts,70,77,52552,26990,16358,85,28405,49400,2019
79,"Wake Forest University, Winston-Salem",NC,Private,34,83,62078,35551,16055,10,34745,61000,2019
80,"Ohio State University, Columbus",OH,Public,53,62,40279,9335,6418,29,26830,42600,2019
81,"State University of New York College at Geneseo, Geneseo",NY,Public,59,66,30943,5718,2790,20,23308,46700,2019
82,"Franklin & Marshall College, Lancaster",PA,Liberal Arts,39,83,64570,39564,12636,3,27474,54800,2019
83,"University of Michigan, Ann Arbor",MI,Public,32,76,54078,15050,7536,25,26510,57900,2019
84,"Florida State University, Tallahassee",FL,Public,55,61,32737,4940,2282,10,24347,44000,2019
85,"Binghamton University, State University of New York, Vestal",NY,Public,44,68,36371,8065,7237,5,25727,58400,2019
86,"Bryn Mawr College, Bryn Mawr",PA,Liberal Arts,40,76,62990,36402,10833,10,24466,50400,2019
87,"Gustavus Adolphus College, St. Peter",MN,Liberal Arts,61,81,51696,26393,16668,100,36636,50100,2019
88,"Trinity University, San Antonio",TX,Private,48,72,51218,25809,16583,81,35318,53200,2019
89,"DePauw University, Greencastle",IN,Liberal Arts,61,75,57278,30895,16764,91,27005,47800,2019
90,"University of Southern California, Los Angeles",CA,Private,18,76,65632,30656,19014,27,28541,66100,2019
91,"University of Illinois at UrbanaChampaign, Champaign",IL,Public,59,69,42996,13591,4736,19,23808,56600,2019
92,"University of Georgia, Athens",GA,Public,56,61,40122,8752,2161,11,21638,46500,2019
93,"Berea College, Berea",KY,Liberal Arts,34,45,7680,3882,0,0,6186,34400,2019
94,"Clark University, Worcester",MA,Private,54,72,50940,25826,16362,68,24990,44100,2019
95,"New Mexico Institute of Mining and Technology, Socorro",NM,Public,36,22,27789,5509,6651,54,20944,52800,2019
96,"University of Rochester, Rochester",NY,Private,36,73,63966,35076,13617,53,30604,55500,2019
97,"Dickinson College, Carlisle",PA,Liberal Arts,48,81,62941,32786,10151,31,25392,52100,2019
98,"Illinois Wesleyan University, Bloomington",IL,Liberal Arts,60,75,53086,23480,15760,91,32101,54600,2019
99,"Gettysburg College, Gettysburg",PA,Liberal Arts,45,80,61400,32458,12401,42,27714,52200,2019
100,"College of Wooster, Wooster",OH,Liberal Arts,59,70,56600,29657,19329,89,24506,44400,2019
101,"Reed College, Portland",OR,Liberal Arts,39,67,63580,39329,0,0,19151,36200,2019
102,"Elon University, Elon",NC,Private,54,76,44070,13722,6603,28,27176,44500,2019
103,"Santa Clara University, Santa Clara",CA,Private,49,78,60489,23155,13120,43,26759,67700,2019
104,"Rhodes College, Memphis",TN,Liberal Arts,60,76,55095,26183,18642,84,27077,50300,2019
105,"University of Washington, Seattle",WA,Public,55,61,46659,15000,5500,5,21532,52100,2019
106,"Connecticut College, New London",CT,Liberal Arts,38,78,63965,35885,0,0,28321,51000,2019
107,"Occidental College, Los Angeles",CA,Liberal Arts,42,80,64446,35661,9928,30,30427,50100,2019
108,"Bentley University, Waltham",MA,Private,46,83,59805,29025,16761,33,30602,74900,2019
109,"Union College, Schenectady",NY,Liberal Arts,41,80,63774,33915,9025,53,29586,61800,2019
110,"College of New Jersey, Ewing",NJ,Public,49,73,40085,12074,5330,14,33635,56800,2019
111,"Yeshiva University, New York",NY,Private,82,59,52004,26232,21840,36,24101,55600,2019
112,"Creighton University, Omaha",NE,Private,73,71,47916,22665,14200,68,33428,57800,2019
113,"Trinity College, Hartford",CT,Liberal Arts,33,79,64920,41684,24836,6,28237,56100,2019
114,"Brandeis University, Waltham",MA,Private,35,85,64454,32276,17895,10,28855,58800,2019
115,"Hope College, Holland",MI,Liberal Arts,82,70,40850,18044,8286,56,31717,43300,2019
116,"Wofford College, Spartanburg",SC,Liberal Arts,77,71,51085,29598,15057,65,24999,46800,2019
117,"New College of Florida, Sarasota",FL,Public,60,57,40076,8481,2293,80,17553,0,2019
118,"Baruch College of the City University of New York, New York",NY,Public,28,35,34968,6870,5005,1,7737,54000,2019
119,"Villanova University, Villanova",PA,Private,49,85,61273,29629,14067,11,35122,73700,2019
120,"Georgia Institute of Technology, Atlanta",GA,Public,33,37,43912,9522,4367,11,24891,74000,2019
121,"Muhlenberg College, Allentown",PA,Liberal Arts,53,81,57825,26007,11792,58,29702,56000,2019
122,"Drake University, Des Moines",IA,Private,69,70,44392,16669,12889,72,31546,55700,2019
123,"University of Miami, Coral Gables",FL,Private,38,69,59720,25950,18846,35,26793,52400,2019
